nombre,inteligencia,fuerza,velocidad,durabilidad,poder,combate,editorial,fecha_extraccion
A-Bomb,38,100,17,80,24,64,Marvel Comics,2026-03-31T21:32:30.264857
Abe Sapien,88,28,35,65,100,85,Dark Horse Comics,2026-03-31T21:32:31.171069
Abin Sur,50,90,53,64,99,65,DC Comics,2026-03-31T21:32:31.848651
Abomination,63,80,53,90,62,95,Marvel Comics,2026-03-31T21:32:32.622840
Abraxas,88,63,83,100,100,55,Marvel Comics,2026-03-31T21:32:33.396460
Absorbing Man,38,80,25,100,98,64,Marvel Comics,2026-03-31T21:32:34.075099
Adam Monroe,63,10,12,100,100,64,NBC - Heroes,2026-03-31T21:32:34.862662
Adam Strange,69,10,33,40,37,50,DC Comics,2026-03-31T21:32:35.822030
Agent 13,null,46,null,null,null,null,Sharon Carter,2026-03-31T21:32:36.587153
Agent Bob,10,8,13,5,5,20,Marvel Comics,2026-03-31T21:32:37.382329
Agent Zero,75,28,38,80,72,95,Marvel Comics,2026-03-31T21:32:38.302837
Air-Walker,50,85,100,85,100,40,Marvel Comics,2026-03-31T21:32:38.982186
Ajax,56,48,35,80,34,55,Marvel Comics,2026-03-31T21:32:39.644389
Alan Scott,63,80,23,90,100,32,DC Comics,2026-03-31T21:32:40.328597
Alex Mercer,50,80,42,90,100,50,Wildstorm,2026-03-31T21:32:41.007444
Alex Woolsly,null,37,null,null,null,null,NBC - Heroes,2026-03-31T21:32:41.664449
Alfred Pennyworth,63,10,17,10,7,55,DC Comics,2026-03-31T21:32:42.340785
Alien,50,28,42,90,57,60,Dark Horse Comics,2026-03-31T21:32:42.987943
Allan Quatermain,null,null,null,null,null,null,Wildstorm,2026-03-31T21:32:43.665670
Amazo,63,100,83,100,100,100,DC Comics,2026-03-31T21:32:44.351802
